ts_label,ts,host,client,cpu_c,nvme_c
07-08 00:00,2026-07-08 00:00:00,ax52-7870-reference-001,ethrex,58.5,39.9
07-08 00:15,2026-07-08 00:15:00,ax52-7870-reference-001,ethrex,61.1,39.9
07-08 00:30,2026-07-08 00:30:00,ax52-7870-reference-001,ethrex,60.0,39.9
07-08 00:45,2026-07-08 00:45:00,ax52-7870-reference-001,ethrex,61.4,41.9
07-08 01:00,2026-07-08 01:00:00,ax52-7870-reference-001,ethrex,60.5,40.9
07-08 01:15,2026-07-08 01:15:00,ax52-7870-reference-001,ethrex,59.4,40.9
07-08 01:30,2026-07-08 01:30:00,ax52-7870-reference-001,ethrex,58.8,39.9
07-08 01:45,2026-07-08 01:45:00,ax52-7870-reference-001,ethrex,58.9,39.9
07-08 02:00,2026-07-08 02:00:00,ax52-7870-reference-001,ethrex,57.8,39.9
07-08 02:15,2026-07-08 02:15:00,ax52-7870-reference-001,ethrex,60.9,39.9
07-08 02:30,2026-07-08 02:30:00,ax52-7870-reference-001,ethrex,60.2,39.9
07-08 02:45,2026-07-08 02:45:00,ax52-7870-reference-001,ethrex,57.9,39.9
07-08 03:00,2026-07-08 03:00:00,ax52-7870-reference-001,ethrex,58.1,39.9
07-08 03:15,2026-07-08 03:15:00,ax52-7870-reference-001,ethrex,59.2,38.9
07-08 03:30,2026-07-08 03:30:00,ax52-7870-reference-001,ethrex,58.0,38.9
07-08 03:45,2026-07-08 03:45:00,ax52-7870-reference-001,ethrex,58.6,39.9
07-08 04:00,2026-07-08 04:00:00,ax52-7870-reference-001,ethrex,58.4,39.9
07-08 04:15,2026-07-08 04:15:00,ax52-7870-reference-001,ethrex,59.4,40.9
07-08 04:30,2026-07-08 04:30:00,ax52-7870-reference-001,ethrex,59.2,40.9
07-08 04:45,2026-07-08 04:45:00,ax52-7870-reference-001,ethrex,58.9,39.9
07-08 05:00,2026-07-08 05:00:00,ax52-7870-reference-001,ethrex,59.2,39.9
07-08 05:15,2026-07-08 05:15:00,ax52-7870-reference-001,ethrex,59.4,39.9
07-08 05:30,2026-07-08 05:30:00,ax52-7870-reference-001,ethrex,59.1,39.9
07-08 05:45,2026-07-08 05:45:00,ax52-7870-reference-001,ethrex,60.5,39.9
07-08 06:00,2026-07-08 06:00:00,ax52-7870-reference-001,ethrex,58.5,39.9
07-08 06:15,2026-07-08 06:15:00,ax52-7870-reference-001,ethrex,72.4,39.9
07-08 06:30,2026-07-08 06:30:00,ax52-7870-reference-001,ethrex,58.1,39.9
07-08 06:45,2026-07-08 06:45:00,ax52-7870-reference-001,ethrex,59.0,39.9
07-08 07:00,2026-07-08 07:00:00,ax52-7870-reference-001,ethrex,63.6,42.9
07-08 07:15,2026-07-08 07:15:00,ax52-7870-reference-001,ethrex,61.2,41.9
07-08 07:30,2026-07-08 07:30:00,ax52-7870-reference-001,ethrex,59.9,40.9
07-08 07:45,2026-07-08 07:45:00,ax52-7870-reference-001,ethrex,58.9,39.9
07-08 08:00,2026-07-08 08:00:00,ax52-7870-reference-001,ethrex,59.5,39.9
07-08 08:15,2026-07-08 08:15:00,ax52-7870-reference-001,ethrex,59.1,44.9
07-08 08:30,2026-07-08 08:30:00,ax52-7870-reference-001,ethrex,58.8,42.9
07-08 08:45,2026-07-08 08:45:00,ax52-7870-reference-001,ethrex,59.5,41.9
07-08 09:00,2026-07-08 09:00:00,ax52-7870-reference-001,ethrex,60.2,41.9
07-08 09:15,2026-07-08 09:15:00,ax52-7870-reference-001,ethrex,58.9,41.9
07-08 09:30,2026-07-08 09:30:00,ax52-7870-reference-001,ethrex,59.4,42.9
07-08 09:45,2026-07-08 09:45:00,ax52-7870-reference-001,ethrex,59.6,41.9
07-08 10:00,2026-07-08 10:00:00,ax52-7870-reference-001,ethrex,58.6,42.9
07-08 10:15,2026-07-08 10:15:00,ax52-7870-reference-001,ethrex,60.1,41.9
07-08 10:30,2026-07-08 10:30:00,ax52-7870-reference-001,ethrex,61.0,42.9
07-08 10:45,2026-07-08 10:45:00,ax52-7870-reference-001,ethrex,60.4,42.9
07-08 11:00,2026-07-08 11:00:00,ax52-7870-reference-001,ethrex,59.4,42.9
07-08 11:15,2026-07-08 11:15:00,ax52-7870-reference-001,ethrex,59.9,42.9
07-08 11:30,2026-07-08 11:30:00,ax52-7870-reference-001,ethrex,59.6,42.9
07-08 11:45,2026-07-08 11:45:00,ax52-7870-reference-001,ethrex,59.8,41.9
07-08 12:00,2026-07-08 12:00:00,ax52-7870-reference-001,ethrex,67.1,41.9
07-08 12:15,2026-07-08 12:15:00,ax52-7870-reference-001,ethrex,59.6,41.9
07-08 12:30,2026-07-08 12:30:00,ax52-7870-reference-001,ethrex,59.6,42.9
07-08 12:45,2026-07-08 12:45:00,ax52-7870-reference-001,ethrex,62.2,41.9
07-08 13:00,2026-07-08 13:00:00,ax52-7870-reference-001,ethrex,61.4,41.9
07-08 13:15,2026-07-08 13:15:00,ax52-7870-reference-001,ethrex,61.9,41.9
07-08 13:30,2026-07-08 13:30:00,ax52-7870-reference-001,ethrex,59.6,41.9
07-08 13:45,2026-07-08 13:45:00,ax52-7870-reference-001,ethrex,59.9,42.9
07-08 14:00,2026-07-08 14:00:00,ax52-7870-reference-001,ethrex,61.0,41.9
07-08 14:15,2026-07-08 14:15:00,ax52-7870-reference-001,ethrex,73.8,41.9
07-08 14:30,2026-07-08 14:30:00,ax52-7870-reference-001,ethrex,58.8,41.9
07-08 14:45,2026-07-08 14:45:00,ax52-7870-reference-001,ethrex,61.0,42.9
07-08 15:00,2026-07-08 15:00:00,ax52-7870-reference-001,ethrex,63.6,41.9
07-08 15:15,2026-07-08 15:15:00,ax52-7870-reference-001,ethrex,58.9,41.9
07-08 15:30,2026-07-08 15:30:00,ax52-7870-reference-001,ethrex,60.0,41.9
07-08 15:45,2026-07-08 15:45:00,ax52-7870-reference-001,ethrex,59.8,41.9
07-08 16:00,2026-07-08 16:00:00,ax52-7870-reference-001,ethrex,61.2,41.9
07-08 16:15,2026-07-08 16:15:00,ax52-7870-reference-001,ethrex,60.2,41.9
07-08 16:30,2026-07-08 16:30:00,ax52-7870-reference-001,ethrex,60.4,41.9
07-08 16:45,2026-07-08 16:45:00,ax52-7870-reference-001,ethrex,60.0,42.9
07-08 17:00,2026-07-08 17:00:00,ax52-7870-reference-001,ethrex,60.2,41.9
07-08 17:15,2026-07-08 17:15:00,ax52-7870-reference-001,ethrex,62.0,44.9
07-08 17:30,2026-07-08 17:30:00,ax52-7870-reference-001,ethrex,59.9,41.9
07-08 17:45,2026-07-08 17:45:00,ax52-7870-reference-001,ethrex,61.0,41.9
07-08 18:00,2026-07-08 18:00:00,ax52-7870-reference-001,ethrex,62.9,68.8
07-08 18:15,2026-07-08 18:15:00,ax52-7870-reference-001,ethrex,65.0,68.8
07-08 18:30,2026-07-08 18:30:00,ax52-7870-reference-001,ethrex,65.2,69.8
07-08 18:45,2026-07-08 18:45:00,ax52-7870-reference-001,ethrex,63.5,68.8
07-08 19:00,2026-07-08 19:00:00,ax52-7870-reference-001,ethrex,65.1,67.8
07-08 19:15,2026-07-08 19:15:00,ax52-7870-reference-001,ethrex,65.4,68.8
07-08 19:30,2026-07-08 19:30:00,ax52-7870-reference-001,ethrex,64.5,68.8
07-08 19:45,2026-07-08 19:45:00,ax52-7870-reference-001,ethrex,65.6,67.8
07-08 20:00,2026-07-08 20:00:00,ax52-7870-reference-001,ethrex,64.9,68.8
07-08 20:15,2026-07-08 20:15:00,ax52-7870-reference-001,ethrex,63.4,67.8
07-08 20:30,2026-07-08 20:30:00,ax52-7870-reference-001,ethrex,64.5,68.8
07-08 20:45,2026-07-08 20:45:00,ax52-7870-reference-001,ethrex,67.6,68.8
07-08 21:00,2026-07-08 21:00:00,ax52-7870-reference-001,ethrex,64.1,67.8
07-08 21:15,2026-07-08 21:15:00,ax52-7870-reference-001,ethrex,63.2,67.8
07-08 21:30,2026-07-08 21:30:00,ax52-7870-reference-001,ethrex,65.1,66.8
07-08 21:45,2026-07-08 21:45:00,ax52-7870-reference-001,ethrex,63.9,67.8
07-08 22:00,2026-07-08 22:00:00,ax52-7870-reference-001,ethrex,65.9,68.8
07-08 22:15,2026-07-08 22:15:00,ax52-7870-reference-001,ethrex,76.5,67.8
07-08 22:30,2026-07-08 22:30:00,ax52-7870-reference-001,ethrex,63.8,67.8
07-08 22:45,2026-07-08 22:45:00,ax52-7870-reference-001,ethrex,65.5,68.8
07-08 23:00,2026-07-08 23:00:00,ax52-7870-reference-001,ethrex,65.9,68.8
07-08 23:15,2026-07-08 23:15:00,ax52-7870-reference-001,ethrex,59.9,41.9
07-08 23:30,2026-07-08 23:30:00,ax52-7870-reference-001,ethrex,59.6,41.9
07-08 23:45,2026-07-08 23:45:00,ax52-7870-reference-001,ethrex,59.8,41.9
07-09 00:00,2026-07-09 00:00:00,ax52-7870-reference-001,ethrex,59.2,40.9
07-09 00:15,2026-07-09 00:15:00,ax52-7870-reference-001,ethrex,60.6,41.9
07-09 00:30,2026-07-09 00:30:00,ax52-7870-reference-001,ethrex,61.5,42.9
07-09 00:45,2026-07-09 00:45:00,ax52-7870-reference-001,ethrex,64.6,44.9
07-09 01:00,2026-07-09 01:00:00,ax52-7870-reference-001,ethrex,60.1,50.9
07-09 01:15,2026-07-09 01:15:00,ax52-7870-reference-001,ethrex,59.4,41.9
07-09 01:30,2026-07-09 01:30:00,ax52-7870-reference-001,ethrex,60.4,41.9
07-09 01:45,2026-07-09 01:45:00,ax52-7870-reference-001,ethrex,59.2,41.9
07-09 02:00,2026-07-09 02:00:00,ax52-7870-reference-001,ethrex,59.4,41.9
07-09 02:15,2026-07-09 02:15:00,ax52-7870-reference-001,ethrex,60.8,41.9
07-09 02:30,2026-07-09 02:30:00,ax52-7870-reference-001,ethrex,60.6,41.9
07-09 02:45,2026-07-09 02:45:00,ax52-7870-reference-001,ethrex,59.6,41.9
07-09 03:00,2026-07-09 03:00:00,ax52-7870-reference-001,ethrex,59.5,41.9
07-09 03:15,2026-07-09 03:15:00,ax52-7870-reference-001,ethrex,59.8,41.9
07-09 03:30,2026-07-09 03:30:00,ax52-7870-reference-001,ethrex,58.6,41.9
07-09 03:45,2026-07-09 03:45:00,ax52-7870-reference-001,ethrex,61.5,41.9
07-09 04:00,2026-07-09 04:00:00,ax52-7870-reference-001,ethrex,61.2,40.9
07-09 04:15,2026-07-09 04:15:00,ax52-7870-reference-001,ethrex,62.4,41.9
07-09 04:30,2026-07-09 04:30:00,ax52-7870-reference-001,ethrex,59.4,40.9
07-09 04:45,2026-07-09 04:45:00,ax52-7870-reference-001,ethrex,58.8,40.9
07-09 05:00,2026-07-09 05:00:00,ax52-7870-reference-001,ethrex,58.9,41.9
07-09 05:15,2026-07-09 05:15:00,ax52-7870-reference-001,ethrex,59.9,41.9
07-09 05:30,2026-07-09 05:30:00,ax52-7870-reference-001,ethrex,59.5,41.9
07-09 05:45,2026-07-09 05:45:00,ax52-7870-reference-001,ethrex,60.1,41.9
07-09 06:00,2026-07-09 06:00:00,ax52-7870-reference-001,ethrex,60.0,41.9
07-09 06:15,2026-07-09 06:15:00,ax52-7870-reference-001,ethrex,72.9,41.9
07-09 06:30,2026-07-09 06:30:00,ax52-7870-reference-001,ethrex,59.6,41.9
07-09 06:45,2026-07-09 06:45:00,ax52-7870-reference-001,ethrex,61.2,40.9
07-09 07:00,2026-07-09 07:00:00,ax52-7870-reference-001,ethrex,63.0,40.9
07-09 07:15,2026-07-09 07:15:00,ax52-7870-reference-001,ethrex,59.4,41.9
07-09 07:30,2026-07-09 07:30:00,ax52-7870-reference-001,ethrex,63.9,41.9
07-09 07:45,2026-07-09 07:45:00,ax52-7870-reference-001,ethrex,59.5,42.9
07-09 08:00,2026-07-09 08:00:00,ax52-7870-reference-001,ethrex,59.0,42.9
07-09 08:15,2026-07-09 08:15:00,ax52-7870-reference-001,ethrex,61.1,42.9
07-09 08:30,2026-07-09 08:30:00,ax52-7870-reference-001,ethrex,58.9,42.9
07-09 08:45,2026-07-09 08:45:00,ax52-7870-reference-001,ethrex,59.1,41.9
07-09 09:00,2026-07-09 09:00:00,ax52-7870-reference-001,ethrex,59.4,41.9
07-09 09:15,2026-07-09 09:15:00,ax52-7870-reference-001,ethrex,60.4,43.9
07-09 09:30,2026-07-09 09:30:00,ax52-7870-reference-001,ethrex,59.0,42.9
07-09 09:45,2026-07-09 09:45:00,ax52-7870-reference-001,ethrex,61.5,42.9
07-09 10:00,2026-07-09 10:00:00,ax52-7870-reference-001,ethrex,59.9,43.9
07-09 10:15,2026-07-09 10:15:00,ax52-7870-reference-001,ethrex,60.5,42.9
07-09 10:30,2026-07-09 10:30:00,ax52-7870-reference-001,ethrex,62.5,43.9
07-09 10:45,2026-07-09 10:45:00,ax52-7870-reference-001,ethrex,59.6,48.9
07-09 11:00,2026-07-09 11:00:00,ax52-7870-reference-001,ethrex,60.2,42.9
07-09 11:15,2026-07-09 11:15:00,ax52-7870-reference-001,ethrex,61.1,42.9
07-09 11:30,2026-07-09 11:30:00,ax52-7870-reference-001,ethrex,59.2,41.9
07-09 11:45,2026-07-09 11:45:00,ax52-7870-reference-001,ethrex,61.0,42.9
07-09 12:00,2026-07-09 12:00:00,ax52-7870-reference-001,ethrex,60.5,42.9
07-09 12:15,2026-07-09 12:15:00,ax52-7870-reference-001,ethrex,60.1,42.9
07-09 12:30,2026-07-09 12:30:00,ax52-7870-reference-001,ethrex,62.5,41.9
07-09 12:45,2026-07-09 12:45:00,ax52-7870-reference-001,ethrex,62.6,41.9
07-09 13:00,2026-07-09 13:00:00,ax52-7870-reference-001,ethrex,61.1,42.9
07-09 13:15,2026-07-09 13:15:00,ax52-7870-reference-001,ethrex,59.9,41.9
07-09 13:30,2026-07-09 13:30:00,ax52-7870-reference-001,ethrex,58.9,41.9
07-09 13:45,2026-07-09 13:45:00,ax52-7870-reference-001,ethrex,59.8,41.9
07-09 14:00,2026-07-09 14:00:00,ax52-7870-reference-001,ethrex,61.6,51.9
07-09 14:15,2026-07-09 14:15:00,ax52-7870-reference-001,ethrex,71.9,50.9
07-09 14:30,2026-07-09 14:30:00,ax52-7870-reference-001,ethrex,62.5,49.9
07-09 14:45,2026-07-09 14:45:00,ax52-7870-reference-001,ethrex,61.8,50.9
07-09 15:00,2026-07-09 15:00:00,ax52-7870-reference-001,ethrex,63.1,48.9
07-09 15:15,2026-07-09 15:15:00,ax52-7870-reference-001,ethrex,61.1,44.9
07-09 15:30,2026-07-09 15:30:00,ax52-7870-reference-001,ethrex,64.1,43.9
07-09 15:45,2026-07-09 15:45:00,ax52-7870-reference-001,ethrex,60.4,43.9
07-09 16:00,2026-07-09 16:00:00,ax52-7870-reference-001,ethrex,61.5,43.9
07-09 16:15,2026-07-09 16:15:00,ax52-7870-reference-001,ethrex,60.8,42.9
07-09 16:30,2026-07-09 16:30:00,ax52-7870-reference-001,ethrex,63.5,42.9
07-09 16:45,2026-07-09 16:45:00,ax52-7870-reference-001,ethrex,63.8,42.9
07-09 17:00,2026-07-09 17:00:00,ax52-7870-reference-001,ethrex,60.9,43.9
07-09 17:15,2026-07-09 17:15:00,ax52-7870-reference-001,ethrex,60.9,43.9
07-09 17:30,2026-07-09 17:30:00,ax52-7870-reference-001,ethrex,59.8,41.9
